stimulus,1223_2636,1224_2642,1228_2674,1229_2683,1230_2680,1238_2578,1241_2583,1242_2582,1243_2580,1247_2590,1248_2587,1251_2589,1253_2592,1256_2601,1257_2600,1258_2598,1263_2603,1264_2602,1265_2605,1272_2607,1275_2613,1276_2612,1277_2616,1278_2617,1280_2620,1283_2634,1285_2635,1286_2632,1287_2633,1288_2640,1291_2643,1293_2639,1294_2646,1297_2676,1298_2645,1300_2649,1303_2653,1304_2655,1307_2659,1308_2658,1312_2663,1317_2661,1318_2662,1319_2665,1320_2666,1321_2672,1322_2673,1324_2682,1327_2687,1329_2685,1334_2692,1335_2691,1337_2698,1338_2697,1342_2703,1343_2704,1347_2710,1349_2712,1350_2716,1354_2719,1355_2718,1364_2747,1366_2753,1373_2764,1374_2754,1383_2744,1387_2758,1389_2768,1390_2767,1391_2773,200_2596,376_2701,390_2678,411_2614,418_2668,419_2715,425_2763,436_2714,454_2721,457_2604,471_2675,486_2679,500_2594,503_2618,505_2772,524_2599,551_2700,552_2722,582_2766,586_2667,587_2695,596_2591,603_2708,609_2689,617_2702,630_2706,643_2574,646_2595,651_2575,678_2684,700_2693,710_2709,724_2774,779_2621,864_2677,mean
0290407779,,28.7623,,42.1133,30.5661,,,22.3607,41.8814,,,41.3718,32.4848,61.1104,80.3498,,38.9279,110.5529,42.4591,25.1812,35.7509,,20.6646,21.2751,40.4489,88.6596,23.4284,,,,,41.6667,27.0658,18.9351,21.0072,30.5085,52.9760,,22.8035,,32.1109,,15.6441,43.5286,,,,,60.0000,26.7117,16.6060,,91.1165,125.6981,26.8501,15.4031,,,25.1109,,,,29.0717,24.6050,,19.5256,,34.7804,46.9905,46.2952,28.7904,35.1527,,,,,,27.9285,,180.3600,52.1637,,,58.9245,47.9831,,54.2345,38.7638,,,56.8624,,40.8434,45.0745,45.5079,1141.0502,,,,25.8052,,28.6280,39.4124,78.2783,,61.4610
0382c3c48e,,31.1886,,38.0503,31.4907,,,26.0408,41.1825,,,41.6778,20.2162,62.7862,55.9248,,25.9629,79.9137,37.5766,23.4888,29.8408,,16.4924,25.4133,38.7298,96.8646,23.7806,,,,,30.0694,19.5316,26.5875,19.2841,24.8700,20.3540,,16.4611,,31.6228,,18.1108,21.6987,,,,,58.8979,40.9033,22.1654,,63.3001,56.7524,27.1241,14.9747,,,21.6987,,,,30.6079,22.2673,,17.1270,,24.9762,56.7098,35.8135,30.2290,46.7333,,,,,,17.2091,,215.0194,38.5806,,,79.3515,53.9510,,91.6515,40.3687,,,39.4676,,33.5233,39.0512,69.0191,786.4994,,,,31.2637,,29.2617,38.3406,54.0655,,52.4937
0800754f0c,27.8524,,37.3116,42.7327,40.4351,39.8434,10.7763,29.5122,39.6746,24.9165,38.1797,21.0110,32.2195,,,,30.7482,77.5066,37.6386,36.9075,31.2637,27.7746,17.9869,25.9554,90.4986,50.0333,21.8849,28.1642,167.1716,40.1641,46.8534,48.2553,28.3866,21.5381,18.7785,42.1663,25.9230,30.8761,18.9209,28.9156,36.8261,21.0223,18.2327,17.5000,20.0000,62.7694,51.7301,53.1909,66.8245,23.7410,25.6348,16.3467,79.5050,73.8954,,14.8754,23.5702,24.2384,23.5281,87.9904,41.4470,859.9092,39.4652,22.2205,34.0037,25.3089,161.3130,36.5800,62.0593,,,55.1920,122.0656,,54.7983,50.0000,20.8738,45.9977,,195.3592,49.2674,199.7498,29.9274,55.1222,25.0832,34.1413,50.8675,55.9840,49.2443,,,55.1582,26.6927,68.6209,86.5200,1700.0456,76.1772,32.2355,50.3259,,64.0676,38.2971,83.1865,,201.8719,75.8628
0b1cd75c8b,31.2658,,28.5549,,,34.7782,25.2336,,,43.6493,20.7020,,,,,33.1662,,,,,,35.1070,,,,,,19.1485,37.6907,42.4264,29.3626,,,,,,,26.2274,,31.4113,,25.5202,,,24.0725,94.7466,38.8444,,,,,18.0739,,,,,23.4521,33.8340,,95.6319,42.0410,79.8344,,,24.0155,,40.8248,,,,,,93.7321,41.9401,53.2751,31.1566,20.9662,,28.2422,,,44.0254,32.1960,,,38.9669,,,55.5805,98.7674,,47.6665,,,,,45.3591,35.6195,32.4926,,74.7817,,,,301.1091,47.8021
0b6be048a1,,,27.1360,,,20.3909,,,30.7283,,,62.1611,,,41.0575,41.9415,27.1870,170.4406,,23.7487,,21.4264,17.6141,21.0090,52.2141,,30.4512,30.3681,28.5115,,32.4771,28.4019,30.6715,21.1148,23.5433,21.0159,17.3205,,15.6243,,,24.9762,12.5945,34.6410,,,,,39.1191,22.8135,29.3151,10.2247,,47.2582,,,27.6134,23.1699,,79.7450,23.8630,,,,28.3945,29.4129,,26.2202,,,,,90.6542,,37.3462,31.8942,,16.2788,,68.3374,40.8758,,28.8874,72.8906,35.6919,28.2843,,,,59.4115,,,,40.7431,87.8107,501.0921,,,41.0235,,,,45.3557,,243.0695,49.3851
0c30f0fa1c,,36.2232,,44.8808,26.3117,,,33.1034,34.8927,,,53.7188,40.2358,54.7723,44.6705,,36.2012,96.4480,30.8221,27.2196,35.5477,,19.8068,21.0263,35.6787,70.5768,31.8733,,,,,41.0881,35.3553,20.1737,18.5252,29.0080,29.0975,,23.9565,,41.0930,,16.5434,18.5592,,,,,35.5903,22.8841,24.6147,,65.1007,131.5495,26.8068,19.8956,,,22.4812,,,,32.6599,80.3030,,24.9254,,97.0941,42.2988,51.8009,30.6866,40.7365,,,,,,17.2463,,126.9998,38.1134,,,45.9248,35.5233,,108.1367,59.0958,,,42.6271,,43.7488,29.5200,97.6853,1356.7322,,,,21.3382,,31.1029,52.5787,47.8310,,64.7712
0cef4f52d5,22.0880,,34.2648,,,29.1230,49.1857,,,56.9897,22.9692,,,,,34.5254,,,,,,46.9861,,,,,,25.0454,191.1599,29.5950,59.4979,,,,,,,22.7636,,22.7462,,33.4549,,,22.0671,78.5621,37.7124,40.3113,,,,13.4164,,,,,35.3291,28.0796,,46.7856,42.4670,77.6209,,,21.1345,,77.6153,,,,,,47.1814,33.8549,61.5467,28.8897,21.3269,,18.6622,,,50.2494,26.5922,,,30.1386,,,46.7460,67.1069,,38.8219,,,,,44.1588,49.3644,51.7963,,28.4312,,,,249.7406,47.6387
0de7b112ca,,33.7377,,44.0588,35.7689,,,20.4124,30.5800,,,45.8511,27.7050,82.9624,92.4276,,29.3684,181.2894,29.8193,25.9696,25.1661,,19.4666,20.9636,42.6675,191.1805,25.5841,,,,,42.5441,30.0000,21.2419,18.7972,29.5804,22.4351,,26.8742,,18.2971,,24.2248,36.0108,,,,,80.0426,30.8671,15.4724,,81.6117,85.0882,30.4038,18.2574,,,22.2948,,,,27.5076,22.9989,,22.5030,,33.9116,33.4741,55.7013,36.7990,53.8272,,,,,,31.5474,,262.3076,43.2861,,,41.5985,37.5681,,144.3450,34.2783,,,48.4496,,37.7793,30.6435,38.7298,930.2867,,,,19.4936,,30.2765,39.5540,59.8331,,61.5692
0ef3d4b2de,,28.3912,30.0000,41.0575,31.0913,33.0043,36.0555,27.6218,37.0901,25.7391,24.0832,32.3858,32.7579,74.2915,,32.1654,29.9073,45.7395,41.3707,19.7351,33.9935,20.8966,13.7281,20.0000,27.5681,64.6886,19.5789,26.4575,164.3878,19.8206,34.5688,47.2973,28.8768,25.0454,20.8021,39.2523,19.7714,35.9738,13.1876,44.1174,33.7886,27.0932,21.0589,24.0659,20.2131,,50.1619,41.5832,48.1584,27.2283,21.0121,22.4644,75.5065,121.2730,,16.4083,31.2846,29.0030,27.6887,60.2080,33.6543,201.2262,33.9116,27.2990,24.7323,22.9762,192.0455,34.8288,31.9539,,,43.2887,128.5820,41.6173,39.4277,31.7038,25.5704,29.6532,26.0408,88.7468,52.2494,28.2843,37.6463,63.3220,31.6228,23.9444,,43.2049,53.0330,52.5000,47.4342,45.6328,29.5200,,151.0287,647.1232,49.5463,,58.8312,,39.5649,26.1406,40.7340,36.2284,251.5626,51.6538
0fe38daafe,54.0786,,38.6329,,,24.1704,17.7544,,,23.8237,33.3759,,,,,82.3060,,,,,,23.2379,,,,,,24.9706,204.6634,25.0000,49.8682,,,,,,,19.6176,,23.7410,,25.6905,,,27.6134,53.7086,33.3371,35.2136,,,,15.1658,,,,,24.3521,14.6249,,61.0773,35.7390,62.2141,,,29.6808,,161.9450,,,,,,137.2346,35.2213,45.4300,38.6652,25.9487,,33.5319,,,52.7799,40.2319,,,38.6929,,,52.2468,155.9968,,50.4659,,,,,43.3197,42.5049,60.0347,,124.8897,,,,240.3601,55.5263
